{'feature': [1, 0, 4, 827923.0, 165584.6, 2285, 32, 0, 0, 0, 121, 36, 0, 0, 1, 734], 'label': 1}
{'feature': [2, 0, 1, 399061.0, 79812.2, 702, 42, 0, 0, 0, 121, 36, 0, 0, 0, 649], 'label': 1}
{'feature': [1, 0, 2, 431293.0, 86258.6, 10412, 49, 0, 0, 1, 121, 36, 0, 0, 1, 265], 'label': 1}
{'feature': [1, 0, 2, 1179478.0, 589739.0, 837, 77, 0, 1, 0, 3, 12, 0, 0, 0, 296], 'label': 1}
{'feature': [0, 0, 1, 771710.0, 192927.5, 301, 64, 0, 0, 0, 47, 12, 0, 0, 0, 539], 'label': 1}
{'feature': [2, 0, 1, 771497.0, 257165.66666666666, 1530, 50, 1, 0, 0, 47, 12, 0, 0, 0, 516], 'label': 1}
{'feature': [0, 0, 3, 1528761.0, 509587.0, 496, 36, 1, 1, 0, 47, 12, 0, 0, 0, 538], 'label': 1}
{'feature': [1, 0, 3, 1183177.0, 295794.25, 2018, 44, 0, 0, 0, 6, 12, 0, 0, 0, 540], 'label': 1}
{'feature': [8, 0, 2, 939384.0, 469692.0, 2977, 45, 1, 0, 0, 7, 12, 0, 0, 0, 614], 'label': 1}
{'feature': [8, 0, 2, 1506043.0, 753021.5, 2369, 45, 0, 0, 0, 72, 12, 0, 0, 0, 507], 'label': 1}
{'feature': [2, 0, 1, 987406.0, 493703.0, 1412, 61, 0, 0, 0, 17, 2, 0, 0, 0, 346], 'label': 1}
{'feature': [2, 0, 2, 80299.0, 26766.333333333332, 2600, 62, 0, 0, 0, 37, 2, 0, 0, 0, 707], 'label': 1}
{'feature': [4, 0, 2, 621947.0, 310973.5, 583, 76, 1, 1, 0, 34, 28, 0, 0, 0, 408], 'label': 1}
{'feature': [15, 0, 2, 1004509.0, 334836.3333333333, 2054, 56, 0, 0, 0, 88, 28, 0, 0, 0, 674], 'label': 1}
